Season_Year,Team,Conference
1938,Fountain Valley,None
1938,Hamilton,None
1938,Harvard,Ivy League
1938,Illinois,None
1938,Jr. Olympics,None
1938,London H.C.,None
1938,MIT,None
1938,Manitoba,None
1938,Massachusetts State,None
1938,McGill,None
1938,McMaster,None
1938,Michigan,None
1938,Michigan Tech,None
1938,Middlebury,None
1938,Minnesota,None
1938,Montreal,None
1938,New Hampshire,None
1938,Newton Lumberjac,None
1938,Northeastern,None
1938,Ontario Ag.,None
1938,Paris A.C.,None
1938,Pittsburgh,None
1938,Point Edward,None
1938,Port Dover,None
1938,Princeton,Ivy League
1938,Queen's,None
1938,Royal Military,None
1938,St. Nick's,None
1938,Toronto,None
1938,USC,None
1938,Union,None
1938,Waterloo A.C.,None
1938,Western Ontario,None
1938,Western Reserve,None
1938,Williams,None
1938,Woodstock A.C.,None
1938,Yale,CCHA
1938,Yale Alumni,None
1939,Army,None
1939,Boston College,None
1939,Boston Jr. Oly,None
1939,Boston University,None
1939,Brock Hall,None
1939,California,None
1939,Clarkson,None
1939,Coca Cola,None
1939,Colby,None
1939,Colgate,None
1939,Colorado College,None
1939,Colorado Mines,None
1939,Cornell,None
1939,Dartmouth,Ivy League
1939,Duquesne,None
1939,Hamilton,None
1939,Harvard,Ivy League
1939,Illinois,None
1939,Jr. Olympics,None
1939,Lehigh,None
1939,London (Ont.),None
1939,London H.C.,None
1939,MIT,None
1939,McGill,None
1939,McMaster,None
1939,Michigan,None
1939,Michigan Tech,None
1939,Middlebury,None
1939,Minnesota,None
1939,Montana Mines,None
1939,New Hampshire,None
1939,New York A.C.,None
1939,Northeastern,None
1939,Ontario Ag.,None
1939,Paris A.C.,None
1939,Princeton,Ivy League
1939,Queen's,None
1939,Sarnia A.C.,None
1939,St. Dominique,None
1939,St. Lawrence,None
1939,St. Nick's,None
1939,Syracuse,None
1939,Toronto,None
1939,USC,None
1939,Williams,None
1939,Yale,CCHA
1939,Yale Alumni,None
1940,Army,None
1940,Boston 97s,None
1940,Boston College,None
1940,Boston University,None
1940,Brantford A.C.,None
1940,Cal.-Sacramento,None
